product_id,product_name
2040409000093,Staedtler W/board Marker 351B-5 Grn Chisel
2040402000382,Bic Black Biro 20 pcs Fine
2010105000285,KCSE Made Familiar: A Biology Workbook 1995-2019
2010119000052,Secondary Physics Form 4 KLB (5th Edition)
2010107000285,KCSE Made Familiar: A Chemistry Workbook 1995-2019(Past K.C.S.E Questions arranged form-wise and in topics form 1-4)
2060606002119,Tenda Wireless N300 High Power Router FH303
2010141000551,I Swear by Apollo
2030302001449,Famous Five: Five run away together
2030302001444,Famous Five: Five on a secret trail (Large)
2030301006207,Crooked Kingdom (Bardugo)
2030301006203,Six of Crows
2040409000062,Pelikan Felt Pens Set 12pcs 302/12 908806
2040409000038,Pelikan twin Felt Pen 304/10 949511
2040402000322,Pelikan Soft gel pen Blue
2040402000309,Pelikan Soft gel pen Black singles
2040405000961,Pelikan HB Pencil triangular + Eraser Doz 408013
2040405001142,Centrum Plastic Sharpener w/dust Container 82363
2040411000106,Pelikan Dust Free Eraser Large 998922
2040411000118,Pelikan Dust free eraser small 2s
2040405000213,Staedtler Pencil 110 5B
2040405000218,Staedtler Pencil 110 4H
2040402000387,Bic Black Biro Medium
2040402000386,Bic Black Biro Fine
2040402000388,Bic Blue Biro Medium
2040412000014,Pelikan Writing Ink Royal Blue 62.5ml 329136
2040409000055,Pelikan text marker Yellow 940379
2040405000027,Pelikan Pencil 2B singles
2040405000216,Staedtler Pencil 110 2H
2040405000209,Staedtler Pencil 110 B
2040405000212,Staedtler Pencil 110 4B
2040401002867,Doms Colour Pencils 24pcs Full Size 3446
2040401002702,Pebeo Brush 951170 8s Poly Yellow 4flat+4round
2040401002266,Pebeo 950250 Brush 8s Yellow Polyamid 4round/4flat
2040401002253,Pebeo Brush 828019 3s 1Pony + 8/12 Flat
2040401002353,Maries Water Mixable Oil colour tubes 18s O-5018B
2040410000016,Pelikan Glue Stick 40gms 335671
2040410000015,Pelikan Glue Stick 20gms 335810
2040411000097,Pelikan Correction Pen 7ml B933 338608
2040402000116,UB-157 Uniball Pen Violet
2040402000113,UB-157 Uniball Pen Wine Red
2040402000112,UB-157 Uniball Pen Red
2040402000109,UB-157 Uniball Pen Black
2010101001609,Fancy Compositions & Grammar
2010127000597,Tadubiri za Insha Darasa la 5:Mbinu na Mapambo
2010101002028,Quick Reading Composition Guide 4-6
2030303005561,Bible stories David and Goliath (B.Jain)
2030303005556,Bible stories Jonah and the Whale (B.Jain)
2040401002867,Doms Colour Pencils 24pcs Full Size 3446
2040405000583,Pelikan HB Pencil with Eraser 6pcs
2040417000474,Manilla Paper Imported 20*30 220/240gms White
2040417000472,Manilla Paper Imported 20*30 220/240gms Green
2040401002857,Doms Extra Long wax Crayons 24s 3450
2030307000361,The Pilgrimage
2040405001142,Centrum Plastic Sharpener w/dust Container 82363
2010141001047,Three Days on the Cross
2040408000269,Book Binding/Duct tape 48mmx20 yards Blue
2040402000951,BL-G2-5-G Pilot Gel Rollerball 0.5 Green
2040402000950,BL-G2-5-R Pilot Gel Rollerball 0.5 Red
2040402000948,BL-G2-5-L Pilot Gel Rollerball 0.5 Blue
2040402000952,BL-G2-5-V Pilot Gel Rollerball 0.5 Violet
2040407000014,My Clear Bag W-209 F/C Assorted
2040407000735,Atlas Document clear bag Green AS-F10003
